Year,Tempo,Duration
1979,121.713,266.81424
2007,100.073,189.28281
2002,82.568,35.65669
2003,116.49,221.90975
2000,137.765,256.62649
1993,125.159,289.09669
2006,140.077,399.82975
1998,89.385,433.94567
1973,202.789,156.18567
1992,94.543,283.03628
1990,64.101,227.5522
2005,95.37,264.14975
2002,127.407,137.37751
1978,129.761,468.00934
1984,183.709,191.99955
2003,96.708,246.33424
2008,110.235,197.79873
2005,100.173,335.69914
2003,118.596,200.12363
2009,164.963,252.21179
2000,128.684,228.70159
2007,85.209,251.402
1997,67.452,218.48771
1935,96.982,163.91791
1987,165.006,194.87302
1996,116.625,209.08363
1998,81.229,64.70485
2000,162.101,213.39383
1982,131.011,270.78485
1998,105.21,224.65261
1995,160.546,62.92853
2009,68.479,307.80036
2009,121.978,224.31302
1988,139.015,322.97751
2009,103.776,195.47383
1997,111.153,181.21098
2004,136.967,349.04771
1986,111.122,236.61669
2004,85.558,338.96444
1991,159.483,198.89587
2003,96.264,60.55138
2007,126.693,215.92771
1967,104.068,201.27302
1983,121.834,34.32444
2000,99.546,242.62485
1973,84.058,234.84036
2002,92.608,217.93914
1992,111.239,262.47791
2008,178.804,299.80689
2009,149.069,266.89261
2009,180.094,197.25016
2001,192.063,244.32281
1997,86.819,161.35791
2005,139.999,249.28608
2009,138.536,208.66567
2002,83.831,225.77587
1999,87.669,212.63628
1997,134.941,239.0722
1994,84.084,246.38649
2006,180.06,242.1024
1972,163.257,167.26159
2002,144.082,198.24281
1997,78.959,382.58893
1995,52.932,186.40934
1981,114.378,92.36853
2006,109.997,261.0673
1995,117.593,318.9024
2007,180.06,278.93506
2001,151.508,263.96689
2009,128.116,110.57587
1995,91.775,432.97914
2006,154.998,233.22077
1990,142.372,262.29506
1983,96.859,273.84118
1998,117.981,278.38649
1964,93.413,157.85751
2008,216.023,207.82975
2003,89.896,208.79628
2006,200.036,357.45914
1968,77.09,248.24118
2003,104.123,259.05587
1984,139.944,250.22649
2008,229.864,270.21016
1996,67.6,204.61669
2000,140.629,305.50159
2006,102.04,215.14404
1993,141.621,185.05098
1993,130.889,197.0673
2005,130.286,404.37506
2009,121.28,209.08363
2010,110.018,307.69587
2008,175.948,261.58975
2004,95.576,249.05098
2004,105.05,352.49587
1999,71.228,99.97016
1993,146.389,270.94159
2009,163.087,255.89506
1979,131.84,243.51302
2003,149.971,276.37506
2003,135.037,395.62404
2000,103.997,236.2771
2005,174.293,256.13016
2001,97.754,161.54077
1999,148.633,189.3873
2003,138.156,126.4322
2004,72.884,242.15465
1998,125.05,243.30404
2008,45.508,260.51873
1958,99.959,295.60118
2002,125.898,228.20526
2001,137.823,246.67383
1963,113.431,156.36853
2003,114.597,127.16363
1990,119.712,573.67465
2007,89.992,181.39383
2005,117.844,273.00526
1975,140.654,220.05506
1998,98.015,129.12281
2006,197.443,300.82567
2005,131.761,241.65832
1982,170.773,275.9571
1968,94.1,298.91873
2001,42.782,288.62649
1999,101.121,224.96608
1994,90.199,283.89832
2002,83.116,232.38485
1993,114.093,229.92934
2005,95.098,204.5122
1986,87.485,241.26649
1982,132.088,193.12281
1987,124.577,246.49098
2007,151.844,168.95955
1995,162.987,226.66404
2002,190.102,245.02812
2007,195.026,156.21179
2000,128.549,264.93342
2001,107.922,353.77587
2003,131.868,197.48526
1975,110.28,192.57424
2004,183.882,146.88608
2000,111.422,133.3024
1992,99.894,241.29261
2008,163.975,187.11465
1992,97.672,348.89098
2004,85.56,337.42322
1988,122.546,166.73914
2004,107.083,217.88689
1992,85.82,163.13424
1979,152.857,242.80771
2000,127.811,204.77342
1981,184.012,248.00608
1998,86.96,112.19546
1996,120.349,220.36853
2006,115.37,459.33669
2005,91.084,306.78159
2008,154.585,226.40281
1972,98.087,340.34893
1979,168.165,217.46893
1978,181.421,144.77016
1994,79.151,176.5873
1978,153.052,231.49669
2000,86.693,173.5571
1991,127.765,173.24363
2002,101.897,340.21832
1989,147.736,314.72281
1998,153.731,354.76853
1987,83.73,258.08934
2007,137.936,234.73587
2009,126.42,367.98649
2004,46.867,213.26322
2008,198.016,300.01587
2004,122.624,255.42485
2006,122.91,534.62159
1980,135.066,128.67873
2009,205.16,165.69424
1979,155.26,141.08689
2003,125.875,168.82893
1971,235.405,199.96689
2000,122.887,145.31873
2007,127.006,225.27955
1991,102.829,251.14077
2003,78.245,260.75383
1971,117.157,151.84934
1996,153.768,315.08853
2001,124.916,125.67465
2004,108.252,166.37342
2004,145.147,195.91791
1992,162.134,255.55546
2007,86.624,256.83546
1994,139.98,231.00036
2006,78.971,161.51465
2001,90.336,86.56934
2000,144.012,407.06567
2005,85.976,235.98975
2008,125.593,189.962
1973,107.592,335.33342
2008,155.173,247.71873
2009,131.955,397.60934
2003,117.367,299.07546
2005,114.752,259.36934
2000,119.953,271.46404
1987,235.337,61.83138
1997,130.908,110.70649
1978,119.389,247.95383
2004,96.082,98.66404
2005,139.562,170.70975
1996,80.375,197.53751
2007,106.01,224.86159
2007,128.006,263.57506
2001,141.008,204.25098
1995,99.612,222.24934
2009,97.454,257.25342
1999,120.765,13.58322
1970,122.236,152.842
2007,102.99,236.35546
2006,91.873,238.05342
2006,160.126,339.80036
1975,162.384,663.24853
2000,171.833,200.04526
1980,141.674,299.78077
1999,103.596,207.98649
1990,125.346,200.202
2002,105.361,188.18567
2009,104.994,246.20363
2005,215.999,285.04771
2003,121.949,272.69179
1972,125.964,243.04281
2005,134.289,165.61587
2001,85.391,440.76363
1993,129.542,227.082
1991,55.596,312.05832
2009,85.332,210.20689
1998,91.973,230.05995
2009,71.758,377.75628
2007,168.979,210.85995
1998,174.332,239.46404
1973,80.754,526.21016
2007,127.952,254.1971
2008,109.697,195.18649
1999,202.153,268.042
2009,143.592,439.30077
1994,111.958,248.55465
2004,128.639,227.99628
2007,119.406,171.93751
2002,112.238,473.46893
2007,170.046,236.93016
1997,138.581,188.62975
1968,152.2,244.27057
2004,131.985,356.23138
2003,82.72,176.37832
1996,129.729,260.96281
1989,104.475,147.87873
1977,137.865,294.24281
2009,85.348,194.97751
1990,114.255,263.73179
2006,139.304,244.50567
1981,138.572,214.43873
2009,120.08,86.22975
2009,84.99,210.59873
1995,122.811,333.322
2005,71.283,155.27138
1970,173.34,149.96853
1979,104.793,125.85751
1992,139.755,138.52689
1986,194.659,298.70975
1991,106.035,410.98404
1998,146.758,258.63791
1990,126.689,157.6224
1988,155.843,204.19873
2007,89.922,252.36853
1993,93.978,323.3171
2005,128.205,308.63628
1999,140.023,430.65424
1998,124.766,288.91383
1999,119.579,233.40363
1995,93.785,50.15465
2003,231.725,182.9873
1988,109.86,204.82567
2007,86.441,172.87791
2003,75.114,297.22077
2006,130.057,246.56934
2006,144.548,157.07383
2008,80.006,233.11628
1993,105.314,158.40608
2008,83.891,247.87546
2000,101.341,659.46077
2003,134.113,304.45669
1977,158.051,290.35057
1984,176.447,153.88689
1991,140.638,325.72036
2008,160.786,245.36771
2008,37.656,189.67465
1998,106.073,173.97506
2001,129.962,306.38975
1963,173.845,116.92363
1987,110.153,272.8224
1993,199.652,216.60689
1996,87.871,262.00771
2004,111.985,372.37506
1992,132.335,250.33098
2002,116.866,288.07791
2004,91.854,409.83465
1995,127.879,265.32526
2008,113.034,222.6673
2008,147.256,179.74812
1999,142.869,195.83955
1990,132.465,339.09506
2001,154.434,253.1522
1991,120.704,327.65342
2000,78.006,175.80363
1996,104.494,250.69669
2005,125.019,268.17261
2006,202.068,242.83383
1967,92.082,166.81751
2005,106.525,234.73587
1983,120.581,213.68118
2004,119.346,251.03628
1998,87.054,409.99138
1980,120.223,308.50567
1988,198.564,201.82159
2006,95.254,219.79383
2006,109.74,351.84281
2010,168.474,550.97424
2009,142.948,199.78404
2004,199.527,98.11546
1974,88.508,245.68118
2004,141.171,263.49669
1966,149.252,165.19791
2003,143.038,242.05016
1969,122.233,192.33914
2003,125.991,361.16853
2010,144.777,236.79955
1975,119.633,229.27628
2001,93.982,246.43873
2009,100.008,325.48526
2008,124.15,257.35791
2002,89.997,475.11465
1998,97.243,240.09098
2006,116.169,330.94485
2000,183.836,285.28281
1987,116.673,283.61098
2002,118.817,229.40689
2007,85.807,269.7922
1994,136.234,222.9024
2001,86.631,242.80771
1989,164.171,292.85832
1999,122.291,139.12771
1998,109.35,218.67057
1995,172.348,190.92853
1993,134.759,24.13669
1968,101.015,118.88281
1980,108.565,233.45587
2003,127.99,403.01669
2008,179.934,347.42812
1997,120.064,313.46893
1999,80.137,249.67791
1997,81.983,1394.75546
2003,93.001,277.81179
1994,209.396,316.02893
2006,182.195,127.73832
1996,128.07,180.79302
1990,105.834,290.19383
2000,189.99,319.97342
1974,122.524,181.55057
2004,101.954,240.32608
2007,124.409,158.51057
2004,138.935,170.50077
1997,186.495,64.39138
2002,189.995,167.44444
2009,129.829,341.2371
2007,146.035,182.15138
2007,102.164,286.04036
1986,145.882,268.40771
2004,130.006,228.85832
1998,119.901,223.76444
2001,184.046,233.92608
2008,139.401,160.23465
2004,161.246,188.31628
1988,142.158,519.8624
2003,111.577,229.98159
2009,110.441,316.21179
1987,115.254,248.55465
2007,84.59,182.25587
1991,90.81,282.53995
2005,176.16,255.50322
2009,140.111,176.43057
2009,136.749,260.33587
2007,140.878,203.91138
1978,114.902,204.14649
1990,95.948,132.07465
1995,133.428,204.85179
2009,160.598,211.90485
1987,69.768,170.94485
1975,118.295,194.76853
2002,129.088,515.36934
2010,121.955,295.31383
2006,130.042,285.67465
1991,132.558,280.65914
1994,187.66,232.12363
1980,125.363,344.24118
1988,110.177,236.042
1993,149.619,272.5873
2008,103.172,180.87138
2008,116.064,202.91873
2001,93.458,171.59791
2002,134.027,274.41587
1973,116.36,253.12608
1999,116.04,199.31383
1977,122.376,185.5473
2001,106.009,261.95546
2007,150.715,276.4273
2006,120.153,165.51138
2005,160.158,216.89424
1990,117.947,208.48281
2003,85.012,200.38485
1975,111.315,365.16526
1990,127.844,281.33832
2007,105.324,261.14567
1994,97.004,230.53016
1981,107.657,217.96526
1983,112.88,151.37914
2005,90.158,200.98567
2003,125.022,252.08118
2006,72.073,170.05669
1995,121.896,383.16363
2005,100.783,211.59138
1998,145.271,296.85506
1991,119.663,268.30322
1999,110.071,231.73179
2009,147.781,268.90404
1983,85.207,313.70404
1992,135.099,246.30812
2002,216.023,314.48771
1994,137.567,146.15465
1978,80.7,278.96118
1998,121.764,181.18485
2009,187.844,316.96934
1927,131.624,191.73832
2008,126.983,266.89261
1995,82.789,278.54322
2007,189.987,117.08036
2008,93.417,131.81342
1999,131.968,188.29016
1996,101.529,330.97098
1986,114.382,210.46812
2008,127.962,212.84526
1989,149.916,261.04118
2000,81.224,79.93424
2005,91.979,314.06975
2003,163.725,229.53751
2005,110.255,380.682
2001,139.778,219.74159
2006,201.123,145.55383
1999,145.607,290.82077
1997,86.39,217.49506
1971,77.207,228.75383
2009,129.824,240.92689
1990,81.947,328.56771
1960,87.758,167.18322
2006,107.32,327.6273
1995,87.747,298.00444
1967,84.853,309.52444
1983,173.581,118.38649
1991,166.092,84.63628
2009,104.988,52.87138
1981,118.203,296.33261
1959,196.303,80.03873
1982,97.342,232.61995
2008,81.256,180.1922
1970,89.091,186.69669
2006,203.994,88.58077
1990,120.938,192.20853
2005,91.498,419.68281
1967,95.981,152.45016
1994,95.315,933.642
1979,166.036,179.04281
1987,100.171,469.60281
1991,118.101,524.87791
2000,96.311,340.50567
1979,123.26,140.30322
2003,81.492,258.42893
2005,139.72,187.27138
1999,110.897,391.02649
1970,85.131,184.45016
1993,120.546,141.47873
1988,131.966,151.01342
1998,109.085,263.41832
2003,100.046,243.98322
1988,120.548,203.62404
1992,136.767,313.20771
2006,113.09,301.87057
1999,105.994,257.2273
2008,119.827,364.14649
1999,94.849,338.75546
2004,160.02,324.07465
2002,90.507,235.04934
2003,126.179,181.49832
2006,171.85,243.35628
2007,253.357,220.70812
2007,93.061,175.80363
2004,75.669,121.96526
2001,78.16,51.01669
1993,76.385,376.68526
2001,112.421,159.4771
1997,119.461,332.93016
1990,73.507,267.59791
2004,118.055,224.93995
2008,100.394,459.31057
2003,108.011,230.08608
1970,86.994,226.21995
2000,137.328,171.4673
2006,122.002,345.75628
2002,101.308,144.14322
1998,111.924,177.00526
1997,124.024,248.21506
1999,146.85,252.89098
2006,131.409,109.84444
2007,129.953,219.19302
1998,135.374,356.41424
2007,174.281,194.92526
2001,115.586,144.77016
2007,85.047,126.87628
1957,108.926,159.05914
1974,133.596,357.53751
2006,124.031,240.22159
2004,95.285,136.95955
2003,111.943,174.10567
1989,153.942,285.75302
2008,115.09,199.78404
1994,142.151,551.81016
1998,87.955,242.85995
2001,100.135,382.95465
1978,156.957,289.64526
1991,103.976,255.65995
1988,219.94,335.01995
1964,74.255,270.75873
1989,186.6,147.46077
1983,130.273,179.77424
1980,151.716,216.34567
1998,107.054,78.96771
2007,155.07,174.81098
1998,148.119,228.07465
2007,142.107,92.70812
2009,152.338,172.93016
1997,209.384,278.12526
2005,111.417,621.7922
2006,110.925,445.49179
2007,124.505,250.95791
1999,138.593,246.5171
2006,95.777,94.69342
2006,158.972,274.99057
1978,165.976,184.55465
2000,121.26,89.67791
2008,192.725,187.24526
1991,125.344,261.8771
1995,167.665,394.762
2006,100.288,199.13098
2005,124.01,214.9873
1981,167.312,280.94649
2007,246.593,592.56118
2008,158.018,175.22893
2005,161.68,275.46077
1996,123.204,95.08526
1974,106.925,205.71383
1982,64.634,311.35302
1991,107.452,180.29669
2002,114.998,177.52771
2008,60.646,282.30485
2006,189.801,165.19791
2008,129.975,195.21261
1993,104.458,217.36444
1982,92.161,346.56608
1972,92.461,536.0322
2010,131.98,360.98567
2004,90.069,211.66975
1998,134.972,168.51546
2009,148.022,285.72689
2004,160.038,284.682
1999,85.195,218.72281
2004,120.484,160.78322
1977,145.115,157.3873
1983,135.648,304.22159
2004,178.13,221.28281
2005,93.408,158.64118
2002,89.008,345.96526
2000,87.231,221.962
1988,166.748,125.51791
1987,167.927,284.99546
2005,92.596,178.1024
1998,120.162,264.77669
1993,115.487,234.762
2007,99.379,282.5922
2004,87.279,365.73995
1963,99.334,131.83955
1993,162.343,319.73832
1965,105.832,161.48853
1993,167.857,182.33424
2007,190.008,222.11873
2009,76.425,393.63873
2005,123.992,504.47628
2009,99.024,185.86077
2003,150.081,124.682
1993,115.906,188.31628
1999,183.684,158.64118
2003,129.887,292.88444
2006,133.142,130.55955
2004,113.874,164.12689
2004,185.46,394.73587
2005,91.981,247.77098
1999,106.798,192.07791
2007,99.994,223.4771
1984,111.716,135.99302
1986,89.871,194.82077
1993,130.729,261.11955
1982,120.664,113.99791
1995,101.106,151.24853
1990,154.403,226.32444
1984,129.07,250.06975
2000,220.026,229.51138
2003,201.792,46.602
1999,114.72,189.88363
1968,117.047,156.39465
2000,153.602,201.56036
1996,47.934,192.67873
2007,70.074,234.68363
1993,95.046,272.22159
2009,94.937,176.61342
2007,86.172,286.6673
2005,144.239,227.60444
2006,140.178,199.1571
2006,82.723,288.31302
1975,151.796,271.69914
1995,107.073,151.03955
1984,152.91,206.78485
1985,145.883,234.91873
1994,90.846,313.80853
2002,134.777,293.43302
1994,124.293,369.162
2004,129.352,208.09098
2006,91.858,200.64608
1958,101.914,154.8273
2003,72.845,24.92036
2007,96.068,227.57832
2008,100.848,167.07873
2008,86.499,243.33016
2001,134.115,395.83302
1975,135.599,130.0371
2002,119.074,252.23791
2003,97.982,181.34159
1998,62.216,408.00608
2007,58.135,188.94322
2005,80.008,180.71465
1977,174.628,207.85587
2005,228.461,263.47057
2006,89.485,295.28771
2008,140.119,200.25424
1980,86.752,255.4771
2007,143.021,258.82077
2009,100.019,264.82893
1999,209.649,230.71302
2002,121.667,275.19955
2000,75.826,184.21506
1999,136.621,252.1073
2003,110.048,52.4273
2007,96.711,834.66404
1992,101.241,219.11465
1991,101.526,216.37179
1997,87.001,294.39955
2003,177.255,271.25506
1993,110.076,151.24853
2004,150.05,322.55955
1980,100.422,181.15873
1989,134.123,324.46649
1991,171.613,286.04036
2001,142.639,269.00853
2002,102.429,243.56526
1997,45.554,19.12118
1981,94.48,205.50485
1964,124.391,201.42975
2008,156.917,315.27138
2005,119.06,246.09914
2001,143.031,146.15465
1972,152.448,251.66322
1979,138.039,219.402
1989,125.241,397.58322
2008,167.905,164.12689
2004,88.753,227.73506
2001,82.585,169.37751
1995,183.662,540.42077
1998,160.011,387.97016
1982,95.7,202.97098
2003,96.962,180.00934
2001,140.021,515.65669
2007,114.594,184.842
1997,100.573,121.02485
2001,133.529,495.90812
1968,170.897,214.96118
1977,96.931,355.21261
2006,87.785,306.18077
1998,158.242,326.00771
1960,108.498,159.16363
2001,83.108,186.56608
2004,120.611,261.3024
2007,102.066,181.13261
1964,95.735,181.86404
1993,87.799,182.72608
1995,99.593,220.49914
1977,123.182,494.10567
1988,130.441,180.13995
2003,125.986,225.61914
2003,67.987,282.53995
2004,200.826,459.28444
2006,158.327,311.06567
1998,124.136,535.45751
1992,93.951,217.62567
1997,128.162,171.28444
2001,83.49,263.20934
2002,165.76,270.62812
2004,181.3,251.89832
2007,166.064,248.78975
1995,128.067,221.98812
2007,142.196,255.76444
1997,91.699,205.06077
2000,174.651,292.25751
2009,132.61,187.24526
1999,152.001,255.39873
1974,119.089,329.66485
1967,54.398,187.42812
2005,119.981,242.33751
2002,180.012,193.72363
2003,192.668,274.99057
2006,118.509,244.06159
1973,100.648,217.96526
2002,125.026,317.28281
2006,157.751,151.82322
1994,156.804,137.9522
2007,93.037,280.2673
2001,100.059,285.962
2004,96.411,207.09832
1989,126.714,125.1522
1993,99.058,264.69832
2009,99.644,543.97342
1987,129.282,156.682
2008,195.985,239.882
2010,89.977,333.76608
2009,122.852,228.44036
1983,127.157,136.38485
2008,141.813,352.02567
2002,149.917,173.66159
1998,152.168,168.69832
2009,124.985,368.74404
2005,219.518,608.7571
1985,112.719,240.77016
2003,154.783,135.36608
2006,158.913,218.74893
1991,82.286,190.04036
1994,71.285,198.13832
2008,96.02,327.99302
2004,109.984,212.71465
2006,98.028,213.10649
2006,125.999,501.13261
2007,108.162,199.20934
1990,130.975,154.87955
1973,71.337,139.72853
1993,124.648,136.04526
1990,108.103,156.02893
2010,120.085,281.23383
2008,84.679,294.00771
2006,98.937,236.45995
1999,170.739,226.5073
2005,171.527,135.78404
2004,127.294,177.94567
1999,136.032,150.36036
1999,180.132,221.23057
2003,137.766,139.88526
1992,125.055,590.15791
2005,122.94,285.04771
2009,94.921,151.58812
1995,155.577,233.482
1999,126.8,240.01261
1998,97.995,232.25424
2006,120.168,256.39138
1995,103.198,223.60771
1989,85.599,242.96444
2006,90.637,261.04118
1983,75.887,278.54322
1995,100.771,289.07057
2002,120.01,254.1971
1994,141.165,212.16608
2004,152.249,156.96934
2008,124.981,272.14322
2007,132.949,516.62322
2001,111.997,219.8722
1999,85.787,278.90893
1996,125.063,247.14404
1970,98.824,188.02893
2005,110.464,193.51465
2009,109.024,202.94485
1979,184.154,184.5024
2002,124.521,174.68036
2008,140.666,283.16689
2008,128.962,232.75057
2009,84.525,187.0624
2002,167.915,292.04853
1994,99.809,174.602
1983,104.323,428.72118
2004,109.23,220.78649
1988,72.117,196.04853
2006,84.595,276.68853
2008,139.994,233.16853
1990,156.32,152.58077
2010,131.388,236.35546
1975,136.842,257.61914
1990,141.602,222.64118
2002,114.179,169.63873
2005,85.024,239.22893
1966,116.664,121.73016
2000,90.032,209.60608
1995,130.993,172.17261
1996,97.849,243.43465
2004,91.879,344.842
1985,99.644,234.78812
2006,189.263,168.56771
2009,151.294,152.13669
2003,133.549,99.99628
2000,179.978,298.10893
1990,162.683,134.89587
1979,140.66,169.66485
1982,128.47,259.18649
1996,131.868,218.27873
2006,151.311,258.2722
2008,231.851,247.48363
1989,90.459,277.28934
1993,102.129,411.97669
2001,91.003,271.62077
2008,145.88,211.66975
1998,142.192,231.00036
2003,93.315,177.18812
2009,119.959,240.22159
2006,168.231,83.12118
1999,101.99,521.56036
2006,152.6,320.44363
1965,62.776,243.53914
2007,136.936,249.49506
2001,163.085,555.54567
2005,91.101,263.00036
1989,146.77,449.74975
2002,85.435,253.64853
2006,137.923,200.88118
1996,141.999,227.81342
2001,112.109,205.29587
1997,98.431,250.27873
1996,95.264,122.27873
2007,118.892,196.93669
2006,83.481,173.50485
2004,122.829,299.98975
2009,152.273,171.59791
2006,127.719,123.66322
2002,91.681,276.58404
2010,95.998,224.10404
2009,127.154,166.26893
1984,112.06,218.20036
2002,104.988,284.60363
1989,82.039,471.43138
2008,120.026,178.15465
2001,99.831,246.20363
2004,96.716,242.78159
1984,116.055,693.57669
2006,159.973,161.59302
1992,69.965,234.60526
1992,205.559,211.33016
2006,68.86,167.54893
1999,196.327,109.00853
2009,95.938,384.15628
2005,116.682,302.94159
2001,108.039,285.46567
1998,83.706,384.57424
2001,90.264,1071.882
2003,118.273,231.18322
2005,112.93,391.00036
1999,131.936,326.60853
2006,151.949,212.89751
2001,139.037,214.30812
1992,138.367,335.22893
2009,140.02,365.76608
2002,149.01,170.81424
2000,137.699,184.39791
2006,119.501,205.06077
1977,221.658,305.05751
2007,90.009,459.93751
2006,125.987,251.66322
2005,134.02,527.98649
1970,105.75,418.53342
2008,130.35,312.842
1980,162.384,63.52934
2010,92.105,214.72608
2006,143.224,153.25995
1983,117.0,273.99791
2006,116.032,214.20363
1991,132.758,295.20934
2005,103.991,253.93587
2006,116.064,167.18322
1999,182.376,221.3873
1969,145.514,172.30322
1992,146.581,307.61751
1997,136.129,152.34567
2009,131.018,168.25424
2006,99.989,237.87057
1998,124.794,134.05995
2000,152.999,249.62567
2010,91.954,128.62649
2005,118.049,249.93914
1997,125.374,394.86649
2008,151.953,284.3424
2000,201.802,256.80934
2002,241.877,224.28689
1988,91.328,340.29669
2003,108.264,241.52771
2001,109.065,155.95057
1998,68.734,279.2224
2009,97.76,106.52689
2005,102.055,234.44853
2005,100.194,261.95546
1985,151.911,176.27383
1971,111.191,283.21914
1994,116.473,329.27302
2009,110.745,212.37506
1999,137.888,254.06649
1971,172.398,239.59465
1998,133.729,124.15955
1994,193.693,321.35791
1999,130.284,168.56771
2000,63.017,426.89261
2002,82.343,194.11546
1990,113.677,283.76771
2005,183.92,187.24526
2005,115.606,288.41751
1963,129.122,136.48934
2001,132.022,233.27302
1999,84.69,118.33424
1990,91.487,195.91791
2004,105.206,229.61587
1999,95.981,316.49914
1989,107.197,313.7824
1989,196.034,167.20934
2007,90.008,260.28363
1989,210.871,224.60036
2000,80.149,266.4224
2007,160.022,288.49587
2004,128.173,70.26893
1986,90.084,191.81669
2000,107.177,38.3473
2009,106.698,177.24036
2001,89.78,233.58649
2007,134.083,485.19791
2000,140.63,201.56036
2007,154.09,286.30159
1995,210.47,303.04608
2001,124.237,356.49261
2001,125.975,327.8624
1999,94.057,224.522
1989,97.099,168.75057
2003,186.254,218.8273
1982,119.293,233.40363
1984,86.643,269.81832
1969,121.274,148.03546
2007,129.738,209.60608
1992,152.622,144.50893
1985,115.642,84.03546
1990,112.903,246.69995
2000,125.013,273.52771
1997,96.979,161.38404
2010,152.013,350.71955
2005,75.031,190.24934
2000,97.981,187.53261
